DEVICE_ID,DEVICE_TYPE,PETAL_ID,BUS_ID,CAN_ID,PETAL_LOC,DEVICE_LOC,FVC_ID,SLIT_ID,SLITBLOCK_ID,BLOCKFIBER_ID,SPECTRO_ID,ENABLED
M06795,POS,1,17,6795,3,465,1465,,,,,N/A
M06796,POS,1,17,6796,3,445,1445,,,,,N/A
M06798,POS,1,17,6798,3,400,1400,,,,,N/A
M06805,POS,1,16,6805,3,467,1467,,,,,N/A
M06807,POS,1,17,6807,3,444,1444,,,,,N/A
M06844,POS,1,13,6844,3,148,1148,,,,,N/A
M06845,POS,1,13,6845,3,205,1205,,,,,N/A
M06846,POS,1,13,6846,3,162,1162,,,,,N/A
M06896,POS,1,13,6896,3,190,1190,,,,,N/A
M06897,POS,1,11,6897,3,60,1060,,,,,N/A
M06905,POS,1,11,6905,3,68,1068,,,,,N/A
M06915,POS,1,11,6915,3,51,1051,,,,,N/A
M06916,POS,1,17,6916,3,422,1422,,,,,N/A
M06917,POS,1,17,6917,3,483,1483,,,,,N/A
M06920,POS,1,17,6920,3,379,1379,,,,,N/A
M06923,POS,1,17,6923,3,501,1501,,,,,N/A
M06924,POS,1,16,6924,3,447,1447,,,,,N/A
M06925,POS,1,16,6925,3,502,1502,,,,,N/A
M06926,POS,1,16,6926,3,486,1486,,,,,N/A
M06927,POS,1,17,6927,3,446,1446,,,,,N/A
M06928,POS,1,16,6928,3,485,1485,,,,,N/A
M06930,POS,1,17,6930,3,424,1424,,,,,N/A
M06949,POS,1,10,6949,3,17,1017,,,,,N/A
M06956,POS,1,16,6956,3,425,1425,,,,,N/A
M06957,POS,1,17,6957,3,423,1423,,,,,N/A
M06958,POS,1,17,6958,3,401,1401,,,,,N/A
M06965,POS,1,13,6965,3,134,1134,,,,,N/A
M06970,POS,1,13,6970,3,160,1160,,,,,N/A
M06973,POS,1,13,6973,3,135,1135,,,,,N/A
M06988,POS,1,13,6988,3,174,1174,,,,,N/A
M06996,POS,1,13,6996,3,146,1146,,,,,N/A
M06997,POS,1,13,6997,3,123,1123,,,,,N/A
M06998,POS,1,13,6998,3,175,1175,,,,,N/A
M06999,POS,1,13,6999,3,189,1189,,,,,N/A
M07000,POS,1,13,7000,3,147,1147,,,,,N/A
M07002,POS,1,17,7002,3,466,1466,,,,,N/A
M07003,POS,1,14,7003,3,410,1410,,,,,N/A
M07099,POS,1,14,7099,3,474,1474,,,,,N/A
M07103,POS,1,14,7103,3,455,1455,,,,,N/A
M07112,POS,1,23,7112,3,178,1178,,,,,N/A
M07155,POS,1,12,7155,3,188,1188,,,,,N/A
M07538,POS,1,15,7538,3,320,1320,,,,,N/A
M07551,POS,1,22,7551,3,390,1390,,,,,N/A
M07631,POS,1,17,7631,3,352,1352,,,,,N/A
M07672,POS,1,22,7672,3,411,1411,,,,,N/A
M07673,POS,1,12,7673,3,171,1171,,,,,N/A
M07675,POS,1,11,7675,3,52,1052,,,,,N/A
M07676,POS,1,12,7676,3,232,1232,,,,,N/A
M07699,POS,1,13,7699,3,81,1081,,,,,N/A
M07702,POS,1,12,7702,3,183,1183,,,,,N/A
M07703,POS,1,22,7703,3,309,1309,,,,,N/A
M07705,POS,1,22,7705,3,371,1371,,,,,N/A
M07706,POS,1,22,7706,3,351,1351,,,,,N/A
M07707,POS,1,12,7707,3,214,1214,,,,,N/A
M07709,POS,1,11,7709,3,44,1044,,,,,N/A
M07781,POS,1,11,7781,3,59,1059,,,,,N/A
M07782,POS,1,13,7782,3,176,1176,,,,,N/A
M07783,POS,1,13,7783,3,122,1122,,,,,N/A
M07795,POS,1,12,7795,3,139,1139,,,,,N/A
M07796,POS,1,12,7796,3,181,1181,,,,,N/A
M07797,POS,1,12,7797,3,180,1180,,,,,N/A
M07798,POS,1,12,7798,3,166,1166,,,,,N/A
M07799,POS,1,12,7799,3,152,1152,,,,,N/A
M07802,POS,1,22,7802,3,372,1372,,,,,N/A
M07803,POS,1,12,7803,3,199,1199,,,,,N/A
M07810,POS,1,22,7810,3,348,1348,,,,,N/A
M07811,POS,1,22,7811,3,369,1369,,,,,N/A
M07812,POS,1,12,7812,3,112,1112,,,,,N/A
M07813,POS,1,22,7813,3,328,1328,,,,,N/A
M07814,POS,1,12,7814,3,124,1124,,,,,N/A
M07815,POS,1,12,7815,3,136,1136,,,,,N/A
M07875,POS,1,14,7875,3,432,1432,,,,,N/A
M07876,POS,1,14,7876,3,491,1491,,,,,N/A
M07877,POS,1,14,7877,3,454,1454,,,,,N/A
M07900,POS,1,16,7900,3,490,1490,,,,,N/A
M07910,POS,1,12,7910,3,184,1184,,,,,N/A
M07911,POS,1,12,7911,3,170,1170,,,,,N/A
M07941,POS,1,11,7941,3,50,1050,,,,,N/A
M07983,POS,1,12,7983,3,113,1113,,,,,N/A
M07989,POS,1,13,7989,3,110,1110,,,,,N/A
M07990,POS,1,11,7990,3,36,1036,,,,,N/A
M07991,POS,1,13,7991,3,63,1063,,,,,N/A
M07992,POS,1,13,7992,3,173,1173,,,,,N/A
M07993,POS,1,13,7993,3,159,1159,,,,,N/A
M07994,POS,1,11,7994,3,76,1076,,,,,N/A
M07995,POS,1,11,7995,3,78,1078,,,,,N/A
M07996,POS,1,15,7996,3,317,1317,,,,,N/A
M08001,POS,1,13,8001,3,221,1221,,,,,N/A
M08008,POS,1,14,8008,3,493,1493,,,,,N/A
M08009,POS,1,12,8009,3,165,1165,,,,,N/A
M08012,POS,1,12,8012,3,155,1155,,,,,N/A
M08018,POS,1,15,8018,3,359,1359,,,,,N/A
M08020,POS,1,22,8020,3,415,1415,,,,,N/A
M08021,POS,1,22,8021,3,414,1414,,,,,N/A
M08022,POS,1,22,8022,3,392,1392,,,,,N/A
M08023,POS,1,22,8023,3,393,1393,,,,,N/A
M08024,POS,1,12,8024,3,149,1149,,,,,N/A
M08025,POS,1,22,8025,3,437,1437,,,,,N/A
M08032,POS,1,14,8032,3,364,1364,,,,,N/A
M08036,POS,1,12,8036,3,252,1252,,,,,N/A
M08039,POS,1,12,8039,3,270,1270,,,,,N/A
M08040,POS,1,12,8040,3,235,1235,,,,,N/A
M08041,POS,1,12,8041,3,204,1204,,,,,N/A
M08042,POS,1,14,8042,3,429,1429,,,,,N/A
M08043,POS,1,14,8043,3,451,1451,,,,,N/A
M08045,POS,1,14,8045,3,386,1386,,,,,N/A
M08046,POS,1,14,8046,3,407,1407,,,,,N/A
M08048,POS,1,14,8048,3,384,1384,,,,,N/A
M08049,POS,1,14,8049,3,343,1343,,,,,N/A
M08050,POS,1,14,8050,3,450,1450,,,,,N/A
M08051,POS,1,15,8051,3,405,1405,,,,,N/A
M08052,POS,1,13,8052,3,55,1055,,,,,N/A
M08053,POS,1,15,8053,3,259,1259,,,,,N/A
M08063,POS,1,23,8063,3,301,1301,,,,,N/A
M08068,POS,1,15,8068,3,278,1278,,,,,N/A
M08073,POS,1,12,8073,3,219,1219,,,,,N/A
M08074,POS,1,12,8074,3,271,1271,,,,,N/A
M08076,POS,1,13,8076,3,114,1114,,,,,N/A
M08077,POS,1,13,8077,3,103,1103,,,,,N/A
M08078,POS,1,13,8078,3,102,1102,,,,,N/A
M08079,POS,1,12,8079,3,254,1254,,,,,N/A
M08080,POS,1,13,8080,3,54,1054,,,,,N/A
M08081,POS,1,12,8081,3,290,1290,,,,,N/A
M08089,POS,1,12,8089,3,311,1311,,,,,N/A
M08090,POS,1,13,8090,3,71,1071,,,,,N/A
M08091,POS,1,13,8091,3,80,1080,,,,,N/A
M08092,POS,1,12,8092,3,237,1237,,,,,N/A
M08100,POS,1,11,8100,3,67,1067,,,,,N/A
M08103,POS,1,22,8103,3,366,1366,,,,,N/A
M08105,POS,1,22,8105,3,325,1325,,,,,N/A
M08106,POS,1,13,8106,3,161,1161,,,,,N/A
M08107,POS,1,14,8107,3,509,1509,,,,,N/A
M08111,POS,1,23,8111,3,209,1209,,,,,N/A
M08113,POS,1,15,8113,3,382,1382,,,,,N/A
M08120,POS,1,14,8120,3,428,1428,,,,,N/A
M08122,POS,1,14,8122,3,433,1433,,,,,N/A
M08123,POS,1,22,8123,3,435,1435,,,,,N/A
M08124,POS,1,22,8124,3,413,1413,,,,,N/A
M08125,POS,1,12,8125,3,169,1169,,,,,N/A
M08126,POS,1,12,8126,3,151,1151,,,,,N/A
M08127,POS,1,22,8127,3,436,1436,,,,,N/A
M08128,POS,1,13,8128,3,121,1121,,,,,N/A
M08129,POS,1,11,8129,3,37,1037,,,,,N/A
M08130,POS,1,11,8130,3,69,1069,,,,,N/A
M08131,POS,1,14,8131,3,475,1475,,,,,N/A
M08132,POS,1,12,8132,3,141,1141,,,,,N/A
M08138,POS,1,14,8138,3,526,1526,,,,,N/A
M08159,POS,1,12,8159,3,198,1198,,,,,N/A
M08166,POS,1,14,8166,3,363,1363,,,,,N/A
M08167,POS,1,12,8167,3,154,1154,,,,,N/A
M08168,POS,1,12,8168,3,168,1168,,,,,N/A
M08169,POS,1,12,8169,3,182,1182,,,,,N/A
M08170,POS,1,12,8170,3,197,1197,,,,,N/A
M08171,POS,1,12,8171,3,140,1140,,,,,N/A
M08172,POS,1,12,8172,3,153,1153,,,,,N/A
M08173,POS,1,14,8173,3,471,1471,,,,,N/A
M08174,POS,1,14,8174,3,406,1406,,,,,N/A
M08175,POS,1,14,8175,3,365,1365,,,,,N/A
M08186,POS,1,12,8186,3,167,1167,,,,,N/A
M08187,POS,1,12,8187,3,127,1127,,,,,N/A
M08197,POS,1,16,8197,3,504,1504,,,,,N/A
M08198,POS,1,12,8198,3,220,1220,,,,,N/A
M08202,POS,1,15,8202,3,318,1318,,,,,N/A
M08203,POS,1,16,8203,3,468,1468,,,,,N/A
M08204,POS,1,14,8204,3,525,1525,,,,,N/A
M08205,POS,1,16,8205,3,469,1469,,,,,N/A
M08206,POS,1,14,8206,3,453,1453,,,,,N/A
M08207,POS,1,16,8207,3,522,1522,,,,,N/A
M08209,POS,1,13,8209,3,73,1073,,,,,N/A
M08215,POS,1,14,8215,3,430,1430,,,,,N/A
M08218,POS,1,12,8218,3,274,1274,,,,,N/A
M08219,POS,1,13,8219,3,82,1082,,,,,N/A
M08220,POS,1,14,8220,3,452,1452,,,,,N/A
M08227,POS,1,23,8227,3,226,1226,,,,,N/A
M08228,POS,1,14,8228,3,524,1524,,,,,N/A
M08229,POS,1,15,8229,3,383,1383,,,,,N/A
M08231,POS,1,15,8231,3,426,1426,,,,,N/A
M08232,POS,1,16,8232,3,449,1449,,,,,N/A
M08233,POS,1,15,8233,3,380,1380,,,,,N/A
M08234,POS,1,11,8234,3,79,1079,,,,,N/A
M08235,POS,1,11,8235,3,89,1089,,,,,N/A
M08236,POS,1,11,8236,3,61,1061,,,,,N/A
M08238,POS,1,14,8238,3,434,1434,,,,,N/A
M08239,POS,1,14,8239,3,457,1457,,,,,N/A
M08240,POS,1,12,8240,3,101,1101,,,,,N/A
M08241,POS,1,12,8241,3,200,1200,,,,,N/A
M08242,POS,1,12,8242,3,216,1216,,,,,N/A
M08243,POS,1,12,8243,3,185,1185,,,,,N/A
M08244,POS,1,12,8244,3,137,1137,,,,,N/A
M08245,POS,1,12,8245,3,125,1125,,,,,N/A
M08246,POS,1,22,8246,3,459,1459,,,,,N/A
M08247,POS,1,12,8247,3,215,1215,,,,,N/A
M08257,POS,1,14,8257,3,458,1458,,,,,N/A
M08258,POS,1,14,8258,3,511,1511,,,,,N/A
M08259,POS,1,14,8259,3,476,1476,,,,,N/A
M08260,POS,1,14,8260,3,477,1477,,,,,N/A
M08261,POS,1,14,8261,3,495,1495,,,,,N/A
M08264,POS,1,14,8264,3,512,1512,,,,,N/A
M08265,POS,1,16,8265,3,521,1521,,,,,N/A
M08266,POS,1,16,8266,3,448,1448,,,,,N/A
M08267,POS,1,16,8267,3,507,1507,,,,,N/A
M08268,POS,1,14,8268,3,456,1456,,,,,N/A
M08269,POS,1,23,8269,3,177,1177,,,,,N/A
M08270,POS,1,23,8270,3,224,1224,,,,,N/A
M08271,POS,1,15,8271,3,403,1403,,,,,N/A
M08272,POS,1,16,8272,3,503,1503,,,,,N/A
M08273,POS,1,16,8273,3,487,1487,,,,,N/A
M08274,POS,1,16,8274,3,488,1488,,,,,N/A
M08275,POS,1,16,8275,3,518,1518,,,,,N/A
M08276,POS,1,16,8276,3,489,1489,,,,,N/A
M08277,POS,1,16,8277,3,520,1520,,,,,N/A
M08278,POS,1,16,8278,3,470,1470,,,,,N/A
M08279,POS,1,15,8279,3,300,1300,,,,,N/A
M08280,POS,1,15,8280,3,339,1339,,,,,N/A
M08281,POS,1,15,8281,3,340,1340,,,,,N/A
M08283,POS,1,12,8283,3,310,1310,,,,,N/A
M08284,POS,1,23,8284,3,208,1208,,,,,N/A
M08285,POS,1,14,8285,3,472,1472,,,,,N/A
M08289,POS,1,16,8289,3,519,1519,,,,,N/A
M08292,POS,1,16,8292,3,505,1505,,,,,N/A
M08293,POS,1,23,8293,3,163,1163,,,,,N/A
M08294,POS,1,23,8294,3,242,1242,,,,,N/A
M08295,POS,1,23,8295,3,164,1164,,,,,N/A
M08305,POS,1,12,8305,3,236,1236,,,,,N/A
M08306,POS,1,13,8306,3,90,1090,,,,,N/A
M08312,POS,1,15,8312,3,360,1360,,,,,N/A
M08314,POS,1,13,8314,3,92,1092,,,,,N/A
M08315,POS,1,23,8315,3,192,1192,,,,,N/A
M08316,POS,1,12,8316,3,253,1253,,,,,N/A
M08317,POS,1,16,8317,3,506,1506,,,,,N/A
M08320,POS,1,15,8320,3,381,1381,,,,,N/A
M08326,POS,1,15,8326,3,319,1319,,,,,N/A
M08331,POS,1,15,8331,3,402,1402,,,,,N/A
M08340,POS,1,15,8340,3,358,1358,,,,,N/A
M08348,POS,1,15,8348,3,299,1299,,,,,N/A
M08475,POS,1,22,8475,3,349,1349,,,,,N/A
M02072,POS,1,23,2072,3,303,1303,,,,,N/A
M05893,POS,1,23,5893,3,265,1265,,,,,N/A
M06150,POS,1,23,6150,3,244,1244,,,,,N/A
M06528,POS,1,23,6528,3,302,1302,,,,,N/A
M06553,POS,1,23,6553,3,283,1283,,,,,N/A
M07063,POS,1,23,7063,3,179,1179,,,,,N/A
M08210,POS,1,23,8210,3,225,1225,,,,,N/A
M06530,POS,1,23,6530,3,250,1250,,,,,N/A
M08211,POS,1,23,8211,3,243,1243,,,,,N/A
M08330,POS,1,23,8330,3,194,1194,,,,,N/A
P085,FIF,1,10,10085,3,11,1011,,,,,FALSE
P127,FIF,1,17,10127,3,439,1439,,,,,TRUE
P136,FIF,1,17,10136,3,482,1482,,,,,TRUE
P137,FIF,1,16,10137,3,517,1517,,,,,TRUE
P138,FIF,1,15,10138,3,321,1321,,,,,FALSE
P139,FIF,1,13,10139,3,239,1239,,,,,TRUE
P140,FIF,1,14,10140,3,496,1496,,,,,FALSE
P141,FIF,1,13,10141,3,75,1075,,,,,TRUE
P142,FIF,1,12,10142,3,150,1150,,,,,TRUE
P143,FIF,1,14,10143,3,534,1534,,,,,FALSE
P149,GIF,1,22,10149,3,541,1541,,,,,TRUE
P152,GIF,1,22,10152,3,542,1542,,,,,TRUE
